"DAW   - Faki Dawood & Sons (Pty) Ltd#$#font-bold=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GRV Details#$#font-bold=true#$#font-size=12",""," April     2019#$#font-bold=true#$#font-size=10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRV No.#$#font-bold=true#$#font-size=10#$#column-","GRV Date#$#font-bold=true#$#font-size=10#$#column","Supplier#$#font-bold=true#$#font-size=10#$#column","Supplier Invoice No#$#font-bold=true#$#font-size=","Product Code#$#font-bold=true#$#font-size=10#$#co","Product Description#$#font-bold=true#$#font-size=","Measured in#$#font-bold=true#$#font-size=10#$#col","Units Received#$#font-bold=true#$#font-size=10#$#","Mass Received#$#font-bold=true#$#font-size=10#$#c","Price#$#font-bold=true#$#font-size=10#$#column-wi","Excluding Amount#$#font-bold=true#$#font-size=10#","VAT Amount#$#font-bold=true#$#font-size=10#$#colu","Total Amount#$#font-bold=true#$#font-size=10#$#co","","","","","","","","","","","","","","","","","","","","",""
"_#$#font-color=#00C0FFFF#$#column-freeze=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99777!#TEXT#!","13-04-2019!#TEXT#!","AFGR01 - Afgri Poultry (Pty) Ltd 14 Day STM ","379879/SHORT GRVD             ","DSN!#TEXT#!","Ds - Necks [10*1kg]!#TEXT#!","Both","       200.00!#TEXT#!","    2000.000!#TEXT#!","     10.00!#TEXT#!","  20000.00!#TEXT#!","   2793.00!#TEXT#!","  22793.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","SFFB10N!#TEXT#!","SF- Cater Fillet 10*1kg New!#TEXT#!","Both","       672.00!#TEXT#!","    6720.000!#TEXT#!","     32.50!#TEXT#!"," 218400.00!#TEXT#!","  31449.60!#TEXT#!"," 249849.60!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","CRCTN!#TEXT#!","Cr - Cater Thighs [5kg] New!#TEXT#!","Both","       300.00!#TEXT#!","    1500.000!#TEXT#!","     21.80!#TEXT#!","  32700.00!#TEXT#!","   4708.80!#TEXT#!","  37408.80!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","CR800N!#TEXT#!","CR - Iqf Mix [6*800g] New!#TEXT#!","Both","      2100.00!#TEXT#!","   10080.000!#TEXT#!","     25.50!#TEXT#!"," 257040.00!#TEXT#!","  37013.76!#TEXT#!"," 294053.76!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","3SR5N!#TEXT#!","SovRan IQF Mix 3*5kg New!#TEXT#!","Both","       180.00!#TEXT#!","    2700.000!#TEXT#!","     23.30!#TEXT#!","  62910.00!#TEXT#!","   9059.04!#TEXT#!","  71969.04!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99779!#TEXT#!","13-04-2019!#TEXT#!","VECT01 - Vector Logistics - 25 Day Acc      ","8018553260                    ","R2BO!#TEXT#!","R - IQF Bones [6*2kg]!#TEXT#!","Both","      1298.00!#TEXT#!","   15576.000!#TEXT#!","      9.80!#TEXT#!"," 152644.80!#TEXT#!","  19811.62!#TEXT#!"," 172456.42!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER25!#TEXT#!","East Rand Eggs - Lrg Unit!#TEXT#!","Units","       180.00!#TEXT#!","            !#TEXT#!","     35.00!#TEXT#!","   6300.00!#TEXT#!","          !#TEXT#!","   6300.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ERJ25!#TEXT#!","S- Jumbo Eggs 2.5doz!#TEXT#!","Units","        80.00!#TEXT#!","            !#TEXT#!","     45.00!#TEXT#!","   3600.00!#TEXT#!","          !#TEXT#!","   3600.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER5M!#TEXT#!","East Rand Eggs - Med Unit!#TEXT#!","Units","        30.00!#TEXT#!","            !#TEXT#!","     55.00!#TEXT#!","   1650.00!#TEXT#!","          !#TEXT#!","   1650.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER18!#TEXT#!","Eggs 1.5 Doz  Units!#TEXT#!","Units","       100.00!#TEXT#!","            !#TEXT#!","     21.00!#TEXT#!","   2100.00!#TEXT#!","          !#TEXT#!","   2100.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER18X!#TEXT#!","Eggs X-Large 1.5doz!#TEXT#!","Units","        50.00!#TEXT#!","            !#TEXT#!","     27.00!#TEXT#!","   1350.00!#TEXT#!","          !#TEXT#!","   1350.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER25!#TEXT#!","East Rand Eggs - Lrg Unit!#TEXT#!","Units","       120.00!#TEXT#!","            !#TEXT#!","     35.00!#TEXT#!","   4200.00!#TEXT#!","          !#TEXT#!","   4200.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER5!#TEXT#!","East Rand Eggs - Lrg Unit!#TEXT#!","Units","       150.00!#TEXT#!","            !#TEXT#!","     70.00!#TEXT#!","  10500.00!#TEXT#!","          !#TEXT#!","  10500.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99781!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428479/DAWO01                 ","MWSB!#TEXT#!","Mw-Smoked Beef 10kg!#TEXT#!","Both","         1.00!#TEXT#!","      10.000!#TEXT#!","    790.86!#TEXT#!","    790.86!#TEXT#!","    118.63!#TEXT#!","    909.49!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99782!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428465/DAWO08                 ","MWR32!#TEXT#!","MW-Beef Russians 3*2kg!#TEXT#!","Both","        50.00!#TEXT#!","     300.000!#TEXT#!","    212.25!#TEXT#!","  10612.50!#TEXT#!","   1591.88!#TEXT#!","  12204.38!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99783!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428456/DAWO08                 ","MWR32!#TEXT#!","MW-Beef Russians 3*2kg!#TEXT#!","Both","        25.00!#TEXT#!","     150.000!#TEXT#!","    212.25!#TEXT#!","   5306.25!#TEXT#!","    795.94!#TEXT#!","   6102.19!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99784!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428446/DAWO08                 ","LBP!#TEXT#!","LH - Beef Patties [40*75g}!#TEXT#!","Both","       130.00!#TEXT#!","     390.000!#TEXT#!","     60.55!#TEXT#!","  23616.06!#TEXT#!","   3542.41!#TEXT#!","  27158.47!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99785!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428443/DAWO08                 ","MWR2!#TEXT#!","MW-Beef Russians 5*2kg!#TEXT#!","Both","        20.00!#TEXT#!","     200.000!#TEXT#!","    353.75!#TEXT#!","   7075.00!#TEXT#!","   1061.25!#TEXT#!","   8136.25!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99785!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428443/DAWO08                 ","MWV2!#TEXT#!","MW-Beef Viennas 5*2kg!#TEXT#!","Both","        12.00!#TEXT#!","     120.000!#TEXT#!","    353.75!#TEXT#!","   4245.00!#TEXT#!","    636.75!#TEXT#!","   4881.75!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99785!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428443/DAWO08                 ","MWRFL!#TEXT#!","MW-Russians Footlong 10*200g!#TEXT#!","Both","         6.00!#TEXT#!","      36.000!#TEXT#!","    287.04!#TEXT#!","   1722.24!#TEXT#!","    258.34!#TEXT#!","   1980.58!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFCG12!#TEXT#!","Cr-Fsh W/Birds Grillers 1.2kg!#TEXT#!","Both","       480.00!#TEXT#!","    6505.600!#TEXT#!","     23.50!#TEXT#!"," 152881.60!#TEXT#!","  22014.95!#TEXT#!"," 174896.55!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFCG1213!#TEXT#!","Cr-Fsh W/Birds GrilL 1.2-1.3kg!#TEXT#!","Both","       418.00!#TEXT#!","    6301.400!#TEXT#!","     23.50!#TEXT#!"," 148082.90!#TEXT#!","  21323.94!#TEXT#!"," 169406.84!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFCG13!#TEXT#!","Cr-Fsh W/Birds GrilL 1.3kg!#TEXT#!","Both","       242.00!#TEXT#!","    3974.800!#TEXT#!","     23.50!#TEXT#!","  93407.80!#TEXT#!","  13450.72!#TEXT#!"," 106858.52!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFC!#TEXT#!","C/Range - Frsh Wholebirds 10's!#TEXT#!","Both","       300.00!#TEXT#!","    3836.380!#TEXT#!","     23.50!#TEXT#!","  90154.93!#TEXT#!","  12982.31!#TEXT#!"," 103137.24!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFFB!#TEXT#!","CR-Fresh Fillets!#TEXT#!","Both","       199.00!#TEXT#!","    1992.060!#TEXT#!","     34.50!#TEXT#!","  68726.07!#TEXT#!","   9896.55!#TEXT#!","  78622.62!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFW!#TEXT#!","C/R - Fresh Wings!#TEXT#!","Both","         5.00!#TEXT#!","      49.520!#TEXT#!","     31.50!#TEXT#!","   1559.88!#TEXT#!","    224.62!#TEXT#!","   1784.50!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFD!#TEXT#!","C/R - Fresh Drums!#TEXT#!","Both","         5.00!#TEXT#!","      49.220!#TEXT#!","     31.50!#TEXT#!","   1550.43!#TEXT#!","    223.26!#TEXT#!","   1773.69!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99786!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710660/DAWO09                 ","CRFLQ15!#TEXT#!","Cr - Fsh Leg Packs 15pc!#TEXT#!","Both","         5.00!#TEXT#!","      42.510!#TEXT#!","     24.90!#TEXT#!","   1058.50!#TEXT#!","    152.42!#TEXT#!","   1210.92!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99787!#TEXT#!","13-04-2019!#TEXT#!","HENW01 - Henwil Chickens - 30 Days Statement","1039604                       ","3H5N!#TEXT#!","H - IQF Mixed (3*5kg) New!#TEXT#!","Both","       420.00!#TEXT#!","    6300.000!#TEXT#!","     21.00!#TEXT#!"," 132300.00!#TEXT#!","  19646.55!#TEXT#!"," 151946.55!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99787!#TEXT#!","13-04-2019!#TEXT#!","HENW01 - Henwil Chickens - 30 Days Statement","1039604                       ","H26N!#TEXT#!","H - IQF Mix [6*2kg] New!#TEXT#!","Both","       525.00!#TEXT#!","    6300.000!#TEXT#!","     21.00!#TEXT#!"," 132300.00!#TEXT#!","  19646.55!#TEXT#!"," 151946.55!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99788!#TEXT#!","13-04-2019!#TEXT#!","EBF02  - Earlybird Farms - 30 Day Acc       ","59037456                      ","EBB!#TEXT#!","EB - Bulk Bone 10kg!#TEXT#!","Both","       280.00!#TEXT#!","    2800.000!#TEXT#!","     10.80!#TEXT#!","  30240.00!#TEXT#!","   3924.82!#TEXT#!","  34164.82!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99788!#TEXT#!","13-04-2019!#TEXT#!","EBF02  - Earlybird Farms - 30 Day Acc       ","59037456                      ","EBO!#TEXT#!","EB - Soup Pack 10x1kg - O!#TEXT#!","Both","       210.00!#TEXT#!","    2100.000!#TEXT#!","     12.50!#TEXT#!","  26250.00!#TEXT#!","   3406.96!#TEXT#!","  29656.96!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
